,Дата,Наименование,Группа,Код,Стоимость услуги,Наименование лаборатории
59,2023-12-07 18:22:17,"Билирубин и его фракции: общий, прямой и непрямой",Биохимия крови,A09.05.022,240,ООО «Ваша лаборатория»
60,2023-12-07 18:22:17,Билирубин непрямой,Биохимия крови,A09.05.022.002,10,ООО «Ваша лаборатория»
61,2023-12-07 18:22:17,Билирубин общий,Биохимия крови,A09.05.021,115,ООО «Ваша лаборатория»
62,2023-12-07 18:22:17,Билирубин прямой,Биохимия крови,A09.05.022.001,115,ООО «Ваша лаборатория»
63,2023-12-07 18:22:17,"ГГТ, ГГТП",Биохимия крови,A09.05.044,115,ООО «Ваша лаборатория»
64,2023-12-07 18:22:17,Гамма-глобулины Белковые фракции,Биохимия крови,,55,ООО «Ваша лаборатория»
65,2023-12-07 18:22:17,Гаптоглобин,Биохимия крови,A09.05.079,475,ООО «Ваша лаборатория»
66,2023-12-07 18:22:17,Гомоцистеин,Биохимия крови,A09.05.214,1 090,ООО «Ваша лаборатория»
67,2023-12-07 18:22:17,Железо сывороточное,Биохимия крови,A09.05.007,160,ООО «Ваша лаборатория»
68,2023-12-07 18:22:17,КФК,Биохимия крови,A09.05.043,190,ООО «Ваша лаборатория»
69,2023-12-07 18:22:17,"Калий (К+), Натрий (Na+), Хлор (Сl-)",Биохимия крови,A09.05.031+A09.05.030+A09.05.034,185,ООО «Ваша лаборатория»
70,2023-12-07 18:22:17,"Комплексный анализ крови на аминокислоты и ацилкарнитины, 32 показателя",Биохимия крови,B03.016.019,4 088,ООО «Ваша лаборатория»
71,2023-12-07 18:22:17,"Комплексный анализ крови на аминокислоты, 16 показателей",Биохимия крови,A09.05.099,2 940,ООО «Ваша лаборатория»
72,2023-12-07 18:22:17,Коэффициент атерогенности,Биохимия крови,,10,ООО «Ваша лаборатория»
73,2023-12-07 18:22:17,Креатинин,Биохимия крови,A09.05.020,125,ООО «Ваша лаборатория»
74,2023-12-07 18:22:17,ЛДГ,Биохимия крови,A09.05.039,125,ООО «Ваша лаборатория»
75,2023-12-07 18:22:17,ЛЖСС,Биохимия крови,A12.05.011,185,ООО «Ваша лаборатория»
76,2023-12-07 18:22:17,Лактат,Биохимия крови,A09.05.207,470,ООО «Ваша лаборатория»
77,2023-12-07 18:22:17,Липаза,Биохимия крови,A09.05.173,245,ООО «Ваша лаборатория»
78,2023-12-07 18:22:17,Липопротеин (а),Биохимия крови,,650,ООО «Ваша лаборатория»
79,2023-12-07 18:22:17,Мочевая кислота,Биохимия крови,A09.05.018,130,ООО «Ваша лаборатория»
80,2023-12-07 18:22:17,Мочевина,Биохимия крови,A09.05.017,125,ООО «Ваша лаборатория»
81,2023-12-07 18:22:17,Насыщение трансферрина железом,Биохимия крови,A12.05.019,535,ООО «Ваша лаборатория»
82,2023-12-07 18:22:17,Насыщение трансферрина расчет,Биохимия крови,,10,ООО «Ваша лаборатория»
83,2023-12-07 18:22:17,ОЖСС,Биохимия крови,A09.05.007+A12.05.011,355,ООО «Ваша лаборатория»
84,2023-12-07 18:22:17,ОЖСС расчет,Биохимия крови,,10,ООО «Ваша лаборатория»
85,2023-12-07 18:22:17,Общий белок,Биохимия крови,A09.05.010,140,ООО «Ваша лаборатория»
86,2023-12-07 18:22:17,Общий белок Белковые фракции,Биохимия крови,,55,ООО «Ваша лаборатория»
87,2023-12-07 18:22:17,Ревматоидный фактор,Биохимия крови,A12.06.019,290,ООО «Ваша лаборатория»
88,2023-12-07 18:22:17,С-реактивный белок,Биохимия крови,A09.05.009,255,ООО «Ваша лаборатория»
89,2023-12-07 18:22:17,Трансферрин,Биохимия крови,A09.05.008,365,ООО «Ваша лаборатория»
90,2023-12-07 18:22:17,Триглицериды,Биохимия крови,A09.05.025,160,ООО «Ваша лаборатория»
91,2023-12-07 18:22:17,Ферритин,Биохимия крови,A09.05.076,415,ООО «Ваша лаборатория»
92,2023-12-07 18:22:17,Холестерин общий,Биохимия крови,A09.05.026,145,ООО «Ваша лаборатория»
93,2023-12-07 18:22:17,Холестерин-ЛПВП,Биохимия крови,A09.05.004,175,ООО «Ваша лаборатория»
94,2023-12-07 18:22:17,Холестерин-ЛПНП,Биохимия крови,A09.05.028,160,ООО «Ваша лаборатория»
95,2023-12-07 18:22:17,Холестерин-ЛПОНП,Биохимия крови,,10,ООО «Ваша лаборатория»
96,2023-12-07 18:22:17,Церулоплазмин,Биохимия крови,A09.05.077,658,ООО «Ваша лаборатория»
97,2023-12-07 18:22:17,Щелочная фосфатаза,Биохимия крови,A09.05.046,125,ООО «Ваша лаборатория»
98,2023-12-07 18:22:17,Гинекомастия (комплекс анализов),Гормоны,,2 505,ООО «Ваша лаборатория»
99,2023-12-07 18:22:17,Гормональный женский комплекс анализов (женские половые гормоны),Гормоны,,2 255,ООО «Ваша лаборатория»
100,2023-12-07 18:22:17,Гормональный мужской комплекс анализов (мужские половые гормоны),Гормоны,,2 480,ООО «Ваша лаборатория»
101,2023-12-07 18:22:17,Комплекс анализов при менопаузе,Гормоны,,2 220,ООО «Ваша лаборатория»
102,2023-12-07 18:22:17,"Контроль лютеиновой фазы МЦ (ЛГ, ФСГ, пролактин, прогестерон)",Гормоны,,1 240,ООО «Ваша лаборатория»
103,2023-12-07 18:22:17,"Контроль фолликулиновой фазы МЦ (ЛГ, ФСГ, пролактин, эстрадиол)",Гормоны,,1 275,ООО «Ваша лаборатория»
104,2023-12-07 18:22:17,17-OH прогестерон,Гормоны,A09.05.139,450,ООО «Ваша лаборатория»
105,2023-12-07 18:22:17,"Андрогенный статус (SHBG, тестостерон общий, свободный и биологически активный)",Гормоны,,865,ООО «Ваша лаборатория»
106,2023-12-07 18:22:17,Андростендион,Гормоны,A09.05.146,835,ООО «Ваша лаборатория»
107,2023-12-07 18:22:17,Антимюллеров гормон,Гормоны,A09.05.225,1 463,ООО «Ваша лаборатория»
108,2023-12-07 18:22:17,ГСПГ,Гормоны,A09.05.160,335,ООО «Ваша лаборатория»
109,2023-12-07 18:22:17,ДГЭА сульфат,Гормоны,A09.05.149,340,ООО «Ваша лаборатория»
110,2023-12-07 18:22:17,Дигидротестостерон,Гормоны,A09.05.150,970,ООО «Ваша лаборатория»
111,2023-12-07 18:22:17,Ингибин В,Гормоны,A09.05.203,1 407,ООО «Ваша лаборатория»
112,2023-12-07 18:22:17,Индекс свободных андрогенов,Гормоны,,75,ООО «Ваша лаборатория»
113,2023-12-07 18:22:17,Инсулин,Гормоны,A09.05.056,430,ООО «Ваша лаборатория»
114,2023-12-07 18:22:17,Кортизол,Гормоны,A09.05.135,305,ООО «Ваша лаборатория»
115,2023-12-07 18:22:17,ЛГ,Гормоны,A09.05.131,305,ООО «Ваша лаборатория»
116,2023-12-07 18:22:17,Лептин,Гормоны,A09.05.159,700,ООО «Ваша лаборатория»
117,2023-12-07 18:22:17,Прогестерон,Гормоны,A09.05.153,305,ООО «Ваша лаборатория»
118,2023-12-07 18:22:17,Пролактин,Гормоны,A09.05.087,325,ООО «Ваша лаборатория»
119,2023-12-07 18:22:17,С-пептид,Гормоны,A09.05.205,345,ООО «Ваша лаборатория»
120,2023-12-07 18:22:17,СТГ,Гормоны,A09.05.066,415,ООО «Ваша лаборатория»
121,2023-12-07 18:22:17,Соматомедин-С,Гормоны,A09.05.204,795,ООО «Ваша лаборатория»
122,2023-12-07 18:22:17,Тестостерон биологически активный расчетный,Гормоны,,75,ООО «Ваша лаборатория»
123,2023-12-07 18:22:17,Тестостерон общий,Гормоны,A09.05.078,305,ООО «Ваша лаборатория»
124,2023-12-07 18:22:17,Тестостерон свободный,Гормоны,A09.05.078.001,770,ООО «Ваша лаборатория»
125,2023-12-07 18:22:17,Тестостерон свободный расчетный,Гормоны,,75,ООО «Ваша лаборатория»
126,2023-12-07 18:22:17,ФСГ,Гормоны,A09.05.132,305,ООО «Ваша лаборатория»
127,2023-12-07 18:22:17,Эстрадиол,Гормоны,A09.05.154,340,ООО «Ваша лаборатория»
128,2023-12-07 18:22:17,Витамины группы В,Витамины и минералы,,10 030,ООО «Ваша лаборатория»
129,2023-12-07 18:22:17,Водорастворимые витамины,Витамины и минералы,,11 808,ООО «Ваша лаборатория»
130,2023-12-07 18:22:17,Дефициты витаминов и минералов Максимум,Витамины и минералы,,19 643,ООО «Ваша лаборатория»
131,2023-12-07 18:22:17,Дефициты витаминов и минералов Минимум,Витамины и минералы,,3 425,ООО «Ваша лаборатория»
132,2023-12-07 18:22:17,Дефициты витаминов и минералов Оптимум,Витамины и минералы,,11 117,ООО «Ваша лаборатория»
133,2023-12-07 18:22:17,Дефициты нутриентов,Витамины и минералы,,9 605,ООО «Ваша лаборатория»
134,2023-12-07 18:22:17,Жирорастворимые витамины,Витамины и минералы,,6 639,ООО «Ваша лаборатория»
135,2023-12-07 18:22:17,Минеральный обмен (комплекс анализов),Витамины и минералы,,985,ООО «Ваша лаборатория»
136,2023-12-07 18:22:17,Обследование при дефиците витамина Д и кальция,Витамины и минералы,,2 195,ООО «Ваша лаборатория»
137,2023-12-07 18:22:17,25-ОН Витамин Д,Витамины и минералы,A09.05.235,1 305,ООО «Ваша лаборатория»
138,2023-12-07 18:22:17,L-карнитин общий и свободный,Витамины и минералы,A09.05.263,3 066,ООО «Ваша лаборатория»
139,2023-12-07 18:22:17,Алюминий,Витамины и минералы,A09.05.266,770,ООО «Ваша лаборатория»
140,2023-12-07 18:22:17,Алюминий в моче,Витамины и минералы,A09.28.071,707,ООО «Ваша лаборатория»
141,2023-12-07 18:22:17,Бета-каротин,Витамины и минералы,,1 778,ООО «Ваша лаборатория»
142,2023-12-07 18:22:17,Витамин А,Витамины и минералы,,1 778,ООО «Ваша лаборатория»
143,2023-12-07 18:22:17,Витамин В1,Витамины и минералы,,1 778,ООО «Ваша лаборатория»
144,2023-12-07 18:22:17,Витамин В12,Витамины и минералы,A12.06.060,525,ООО «Ваша лаборатория»
145,2023-12-07 18:22:17,Витамин В2,Витамины и минералы,,1 778,ООО «Ваша лаборатория»
146,2023-12-07 18:22:17,Витамин В3,Витамины и минералы,,1 778,ООО «Ваша лаборатория»
147,2023-12-07 18:22:17,Витамин В5,Витамины и минералы,,1 778,ООО «Ваша лаборатория»
148,2023-12-07 18:22:17,Витамин В6,Витамины и минералы,,1 778,ООО «Ваша лаборатория»
149,2023-12-07 18:22:17,Витамин Е,Витамины и минералы,,1 778,ООО «Ваша лаборатория»
150,2023-12-07 18:22:17,Витамин К,Витамины и минералы,,1 778,ООО «Ваша лаборатория»
151,2023-12-07 18:22:17,Витамин С,Витамины и минералы,,1 778,ООО «Ваша лаборатория»
152,2023-12-07 18:22:17,Глутатион,Витамины и минералы,A09.05.259,1 600,ООО «Ваша лаборатория»
153,2023-12-07 18:22:17,Йод,Витамины и минералы,,707,ООО «Ваша лаборатория»
154,2023-12-07 18:22:17,Йод в моче,Витамины и минералы,A09.28.065,595,ООО «Ваша лаборатория»
155,2023-12-07 18:22:17,Кадмий,Витамины и минералы,A09.05.278,595,ООО «Ваша лаборатория»
156,2023-12-07 18:22:17,Кадмий в моче,Витамины и минералы,A09.28.083,595,ООО «Ваша лаборатория»
157,2023-12-07 18:22:17,Кальций в моче суточной,Витамины и минералы,A09.28.012,170,ООО «Ваша лаборатория»
158,2023-12-07 18:22:17,Кальций ионизированный,Витамины и минералы,A09.05.206,260,ООО «Ваша лаборатория»
159,2023-12-07 18:22:17,Кальций общий,Витамины и минералы,A09.05.032,165,ООО «Ваша лаборатория»
160,2023-12-07 18:22:17,"Комплексный анализ крови на наличие тяжелых металлов и микроэлементов, 23 показателя",Витамины и минералы,A09.05.242,3 773,ООО «Ваша лаборатория»
161,2023-12-07 18:22:17,Литий,Витамины и минералы,A09.05.086,595,ООО «Ваша лаборатория»
162,2023-12-07 18:22:17,Литий в моче,Витамины и минералы,,595,ООО «Ваша лаборатория»
163,2023-12-07 18:22:17,Литий терапевтический,Витамины и минералы,A09.05.086,595,ООО «Ваша лаборатория»
164,2023-12-07 18:22:17,Магний,Витамины и минералы,A09.05.127,185,ООО «Ваша лаборатория»
165,2023-12-07 18:22:17,Магний в моче суточной,Витамины и минералы,,190,ООО «Ваша лаборатория»
166,2023-12-07 18:22:17,Малоновый диальдегид,Витамины и минералы,A09.05.192,1 495,ООО «Ваша лаборатория»
167,2023-12-07 18:22:17,Марганец,Витамины и минералы,A09.05.270,595,ООО «Ваша лаборатория»
168,2023-12-07 18:22:17,Марганец в моче,Витамины и минералы,A09.28.075,595,ООО «Ваша лаборатория»
169,2023-12-07 18:22:17,Медь,Витамины и минералы,A09.05.273,707,ООО «Ваша лаборатория»
170,2023-12-07 18:22:17,Медь в моче,Витамины и минералы,A09.28.078,707,ООО «Ваша лаборатория»
171,2023-12-07 18:22:17,Медь в моче суточной,Витамины и минералы,A09.28.078,707,ООО «Ваша лаборатория»
172,2023-12-07 18:22:17,Ненасыщенные жирные кислоты Омега-3,Витамины и минералы,B03.016.017.003,2 940,ООО «Ваша лаборатория»
173,2023-12-07 18:22:17,Ненасыщенные жирные кислоты Омега-3 и Омега-6,Витамины и минералы,,8 232,ООО «Ваша лаборатория»
174,2023-12-07 18:22:17,Ненасыщенные жирные кислоты Омега-6,Витамины и минералы,B03.016.017.001,2 940,ООО «Ваша лаборатория»
175,2023-12-07 18:22:17,Ненасыщенные жирные кислоты Омега-9,Витамины и минералы,,2 940,ООО «Ваша лаборатория»
176,2023-12-07 18:22:17,Определение Омега-3 индекса,Витамины и минералы,,3 514,ООО «Ваша лаборатория»
177,2023-12-07 18:22:17,"Расширенный комплексный анализ крови на метаболиты витамина D (1,25-(OH)2 D3; 25-OH D3; 25-OH D2; 24,25-(OH)2 D3)",Витамины и минералы,,6 125,ООО «Ваша лаборатория»
178,2023-12-07 18:22:17,Ртуть,Витамины и минералы,A09.05.280,770,ООО «Ваша лаборатория»
179,2023-12-07 18:22:17,Ртуть в моче,Витамины и минералы,A09.28.085,707,ООО «Ваша лаборатория»
180,2023-12-07 18:22:17,Свинец,Витамины и минералы,A09.05.281,770,ООО «Ваша лаборатория»
181,2023-12-07 18:22:17,Свинец в моче,Витамины и минералы,A09.28.061,707,ООО «Ваша лаборатория»
182,2023-12-07 18:22:17,Селен,Витамины и минералы,A09.05.276,707,ООО «Ваша лаборатория»
183,2023-12-07 18:22:17,Селен в моче,Витамины и минералы,A09.28.081,595,ООО «Ваша лаборатория»
184,2023-12-07 18:22:17,Сера,Витамины и минералы,,595,ООО «Ваша лаборатория»
185,2023-12-07 18:22:17,Фолиевая кислота,Витамины и минералы,A09.05.080,615,ООО «Ваша лаборатория»
186,2023-12-07 18:22:17,Фосфор неорганический,Витамины и минералы,A09.05.033,155,ООО «Ваша лаборатория»
187,2023-12-07 18:22:17,Фосфор неорганический в моче суточной,Витамины и минералы,A09.28.026,170,ООО «Ваша лаборатория»
188,2023-12-07 18:22:17,Хром,Витамины и минералы,A09.05.269,595,ООО «Ваша лаборатория»
189,2023-12-07 18:22:17,Хром в моче,Витамины и минералы,A09.28.074,595,ООО «Ваша лаборатория»
190,2023-12-07 18:22:17,Цинк,Витамины и минералы,A09.05.274,220,ООО «Ваша лаборатория»
191,2023-12-07 18:22:17,"Госпитальный скрининг (ВИЧ, сифилис RPR и гепатиты B и C)","Госпитализация, операция",,1 205,ООО «Ваша лаборатория»
192,2023-12-07 18:22:17,"Госпитальный скрининг (ВИЧ, сифилис антитела и гепатиты В и С)","Госпитализация, операция",,1 335,ООО «Ваша лаборатория»
193,2023-12-07 18:22:17,Обследование перед операцией,"Госпитализация, операция",,4 450,ООО «Ваша лаборатория»
194,2023-12-07 18:22:17,Группа риска (комплекс анализов),Инфекции,,1 335,ООО «Ваша лаборатория»
195,2023-12-07 18:22:17,Детские инфекции (комплекс анализов),Инфекции,,2 730,ООО «Ваша лаборатория»
196,2023-12-07 18:22:17,Диагностика хеликобактерной инфекции (антитела),Инфекции,,920,ООО «Ваша лаборатория»
197,2023-12-07 18:22:17,Комплекс анализов на гепатит B,Инфекции,,780,ООО «Ваша лаборатория»
198,2023-12-07 18:22:17,Комплекс анализов на инфекционный мононуклеоз,Инфекции,,1 360,ООО «Ваша лаборатория»
199,2023-12-07 18:22:17,"Обследование после ОРВИ, гриппа",Инфекции,,655,ООО «Ваша лаборатория»
200,2023-12-07 18:22:17,Anti-HAV IgG Антитела к вирусу гепатита А IgG (количественный),Инфекции,A26.06.034.002,435,ООО «Ваша лаборатория»
201,2023-12-07 18:22:17,Anti-HAV IgM Антитела к вирусу гепатита А IgM,Инфекции,A26.06.034.001,615,ООО «Ваша лаборатория»
202,2023-12-07 18:22:17,Anti-HBcor IgM Антитела к ядерному антигену вируса гепатита B IgM,Инфекции,A26.06.039.001,540,ООО «Ваша лаборатория»
203,2023-12-07 18:22:17,Anti-HBcor total Антитела к ядерному антигену вируса гепатита B суммарные,Инфекции,A26.06.039,390,ООО «Ваша лаборатория»
204,2023-12-07 18:22:17,Anti-HCV total Антитела к вирусу гепатита С суммарные,Инфекции,A26.06.041,405,ООО «Ваша лаборатория»
205,2023-12-07 18:22:17,Anti-Hbs total Антитела к поверхностному антигену вируса гепатита В суммарные (количественный),Инфекции,A26.06.040.002,460,ООО «Ваша лаборатория»
206,2023-12-07 18:22:17,HBsAg Поверхностный антиген вируса гепатита В,Инфекции,A26.06.036.001,240,ООО «Ваша лаборатория»
207,2023-12-07 18:22:17,Антитела  к ядерному антигену вируса Эпштейна-Барр anti-EBV EBNA IgG,Инфекции,A26.06.031,420,ООО «Ваша лаборатория»
208,2023-12-07 18:22:17,Антитела к Chlamydia trachomatis IgA,Инфекции,A26.06.018.001,410,ООО «Ваша лаборатория»
209,2023-12-07 18:22:17,Антитела к Chlamydia trachomatis IgG,Инфекции,A26.06.018.003,420,ООО «Ваша лаборатория»
210,2023-12-07 18:22:17,Антитела к Chlamydia trachomatis IgM,Инфекции,A26.06.018.002,390,ООО «Ваша лаборатория»
211,2023-12-07 18:22:17,Антитела к Chlamydophila pneumoniae IgG,Инфекции,A26.06.113,390,ООО «Ваша лаборатория»
212,2023-12-07 18:22:17,Антитела к Chlamydophila pneumoniae IgM,Инфекции,A26.06.113,390,ООО «Ваша лаборатория»
213,2023-12-07 18:22:17,Антитела к Corynebacterium diphtheriae IgG,Инфекции,A26.06.104,660,ООО «Ваша лаборатория»
214,2023-12-07 18:22:17,Антитела к Helicobacter pylori IgA,Инфекции,A26.06.033,560,ООО «Ваша лаборатория»
215,2023-12-07 18:22:17,Антитела к Helicobacter pylori IgG,Инфекции,A26.06.033,360,ООО «Ваша лаборатория»
216,2023-12-07 18:22:17,Антитела к Helicobacter pylori IgM,Инфекции,A26.06.033,540,ООО «Ваша лаборатория»
217,2023-12-07 18:22:17,Антитела к Mycoplasma pneumoniae IgG,Инфекции,A26.06.057,385,ООО «Ваша лаборатория»
218,2023-12-07 18:22:17,Антитела к Mycoplasma pneumoniae IgM,Инфекции,A26.06.057,385,ООО «Ваша лаборатория»
219,2023-12-07 18:22:17,Антитела к Ureaplasma urealyticum IgA,Инфекции,,450,ООО «Ваша лаборатория»
220,2023-12-07 18:22:17,Антитела к Ureaplasma urealyticum IgG,Инфекции,,450,ООО «Ваша лаборатория»
221,2023-12-07 18:22:17,Антитела к Vi -антигену Salmonella typhi,Инфекции,A26.06.077,420,ООО «Ваша лаборатория»
222,2023-12-07 18:22:17,"Антитела к ВИЧ 1, 2 и антиген",Инфекции,A26.06.049.001,355,ООО «Ваша лаборатория»
223,2023-12-07 18:22:17,Антитела к вирусу Варицелла-Зостер IgG,Инфекции,A26.06.084.001,530,ООО «Ваша лаборатория»
224,2023-12-07 18:22:17,Антитела к вирусу Варицелла-Зостер IgM,Инфекции,A26.06.084.002,575,ООО «Ваша лаборатория»
225,2023-12-07 18:22:17,Антитела к вирусу герпеса 6 типа IgG,Инфекции,A26.06.047.001,550,ООО «Ваша лаборатория»
